sy_vmag,elon,elat,st_spectype
4.72307,177.4179,18.33392,
4.72307,177.4179,18.33392,G8 III
4.72307,177.4179,18.33392,G8 III
5.013,141.64699,74.95821,
5.013,141.64699,74.95821,
5.013,141.64699,74.95821,K4 III
5.23133,11.95935,38.22901,K0 III
5.23133,11.95935,38.22901,
5.23133,11.95935,38.22901,K0 III
6.61935,223.24717,62.87885,K0 V
6.61935,223.24717,62.87885,
6.61935,223.24717,62.87885,
6.61935,223.24717,62.87885,
6.61935,223.24717,62.87885,
6.61935,223.24717,62.87885,
6.61935,223.24717,62.87885,K0 V
6.61935,223.24717,62.87885,
6.215,321.21176,69.46803,
6.215,321.21176,69.46803,
6.215,321.21176,69.46803,G2.5 V
6.215,321.21176,69.46803,
6.215,321.21176,69.46803,G3 V
6.215,321.21176,69.46803,
5.22606,243.70449,9.21181,K3 III
5.51048,320.58706,26.78678,G6 III
5.51048,320.58706,26.78678,G6 III
5.51048,320.58706,26.78678,
12.618,244.36567,-0.06852,
12.618,244.36567,-0.06852,K7 V
12.618,244.36567,-0.06852,
12.618,244.36567,-0.06852,K7 V
5.59,185.91956,58.88795,G3 IV
5.59,185.91956,58.88795,G3 IV
6.4535,157.99391,-10.19818,
6.4535,157.99391,-10.19818,
16.186,71.58413,4.72193,M V
15.788,341.46812,-54.69414,M5.5/M6
14.244,8.62267,-30.71197,
14.244,8.62267,-30.71197,M3.5 V
,13.50901,-49.30514,M6
18.3,38.09147,-21.25209,M6 V
,61.80997,-0.37206,
,72.05025,0.80236,M8.5
,238.33044,-66.5799,
16.957,244.42577,-64.57818,
,199.73955,-35.03506,M8
,199.73955,-35.03506,
12.651,314.70935,65.72534,
12.651,314.70935,65.72534,
11.804,283.39145,-60.6492,
12.368,6.85902,50.8533,K7 V
7.09209,44.56452,8.85457,F6 V
7.09209,44.56452,8.85457,
7.09209,44.56452,8.85457,
4.5801,112.80905,44.02809,K1 III
4.5801,112.80905,44.02809,K1 III
4.8262,342.26846,87.18291,K1.5 III
5.03352,149.06831,31.06122,G0 V
5.03352,149.06831,31.06122,
5.03352,149.06831,31.06122,
5.03352,149.06831,31.06122,G1 V
5.03352,149.06831,31.06122,
5.03352,149.06831,31.06122,
5.03352,149.06831,31.06122,G1 V
5.03352,149.06831,31.06122,
5.03352,149.06831,31.06122,
5.03352,149.06831,31.06122,
5.21149,67.30974,-24.30532,
