sy_vmag,glon,glat,st_spectype,sy_dist
4.72307,264.13775,78.28058,,93.1846
4.72307,264.13775,78.28058,G8 III,93.1846
4.72307,264.13775,78.28058,G8 III,93.1846
5.013,108.719,41.04437,,125.321
5.013,108.719,41.04437,,125.321
5.013,108.719,41.04437,K4 III,125.321
5.23133,106.41269,-21.05141,K0 III,75.4392
5.23133,106.41269,-21.05141,,75.4392
5.23133,106.41269,-21.05141,K0 III,75.4392
6.61935,69.16849,46.94447,K0 V,17.9323
6.61935,69.16849,46.94447,,17.9323
6.61935,69.16849,46.94447,,17.9323
6.61935,69.16849,46.94447,,17.9323
6.61935,69.16849,46.94447,,17.9323
6.61935,69.16849,46.94447,,17.9323
6.61935,69.16849,46.94447,K0 V,17.9323
6.61935,69.16849,46.94447,,17.9323
6.215,83.33558,13.20446,,21.1397
6.215,83.33558,13.20446,,21.1397
6.215,83.33558,13.20446,G2.5 V,21.1397
6.215,83.33558,13.20446,,21.1397
6.215,83.33558,13.20446,G3 V,21.1397
6.215,83.33558,13.20446,,21.1397
5.22606,1.30262,27.34301,K3 III,124.953
5.51048,58.69121,-21.9748,G6 III,76.222
5.51048,58.69121,-21.9748,G6 III,76.222
5.51048,58.69121,-21.9748,,76.222
12.618,352.8905,22.03031,,139.135
12.618,352.8905,22.03031,K7 V,139.135
12.618,352.8905,22.03031,,139.135
12.618,352.8905,22.03031,K7 V,139.135
5.59,90.16373,60.6447,G3 IV,95.9863
5.59,90.16373,60.6447,G3 IV,95.9863
6.4535,245.08569,44.7158,,72.0691
6.4535,245.08569,44.7158,,72.0691
16.186,172.81975,-13.44593,M V,128.484
15.788,299.26888,-61.77586,M5.5/M6,
14.244,195.45385,-82.5199,,33.8281
14.244,195.45385,-82.5199,M3.5 V,33.8281
,252.45343,-67.98402,M6,
18.3,181.3869,-54.7665,M6 V,66.0613
,171.7948,-24.41615,,117.435
,176.51065,-15.11435,M8.5,
,296.98009,-15.96361,,
16.957,300.23137,-16.7447,,100.862
,293.79011,22.54309,M8,64.308
,293.79011,22.54309,,64.308
12.651,79.01876,11.67426,,396.332
12.651,79.01876,11.67426,,396.332
11.804,310.65078,-32.11971,,34.1154
12.368,100.74846,-9.10923,K7 V,69.5737
7.09209,151.47681,-32.3093,F6 V,44.657
7.09209,151.47681,-32.3093,,44.657
7.09209,151.47681,-32.3093,,44.657
4.5801,151.35882,35.95654,K1 III,73.4603
4.5801,151.35882,35.95654,K1 III,73.4603
4.8262,95.41912,27.12504,K1.5 III,90.6545
5.03352,175.78305,63.3677,G0 V,13.7967
5.03352,175.78305,63.3677,,13.7967
5.03352,175.78305,63.3677,,13.7967
5.03352,175.78305,63.3677,G1 V,13.7967
5.03352,175.78305,63.3677,,13.7967
5.03352,175.78305,63.3677,,13.7967
5.03352,175.78305,63.3677,G1 V,13.7967
5.03352,175.78305,63.3677,,13.7967
5.03352,175.78305,63.3677,,13.7967
5.03352,175.78305,63.3677,,13.7967
5.21149,198.61297,-30.65764,,29.7575
5.21149,198.61297,-30.65764,,29.7575
5.21149,198.61297,-30.65764,F0 IV,29.7575
5.45309,90.06374,-34.7275,,15.4614
5.45309,90.06374,-34.7275,,15.4614
5.45309,90.06374,-34.7275,,15.4614
5.45309,90.06374,-34.7275,,15.4614
5.45309,90.06374,-34.7275,,15.4614
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,G8 V,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,G8 V,12.5855
5.95084,196.79526,37.69663,K0 IV-V,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,G8 V,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,G8 V,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.95084,196.79526,37.69663,,12.5855
5.87307,156.97286,20.18918,K0 IV,54.6599
5.87307,156.97286,20.18918,,54.6599
5.87307,156.97286,20.18918,K0 IV,54.6599
5.87307,156.97286,20.18918,,54.6599
4.6955,311.85177,44.08875,,8.50332
4.6955,311.85177,44.08875,G5 V,8.50332
4.6955,311.85177,44.08875,,8.50332
4.6955,311.85177,44.08875,G5 V,8.50332
4.6955,311.85177,44.08875,G5 V,8.50332
3.95,228.68876,-11.79597,,19.8101
3.95,228.68876,-11.79597,K1 III,19.8101
3.95,228.68876,-11.79597,,19.8101
3.95,228.68876,-11.79597,,19.8101
3.95,228.68876,-11.79597,,19.8101
3.95,228.68876,-11.79597,,19.8101
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
