sy_dist,st_spectype,sy_vmag,st_teff
0.0,G,-26.74,0.0
93.1846,G,4.72307,4874.0
125.321,K,5.013,4213.0
75.4392,K,5.23133,4888.0
17.9323,K,6.61935,5338.0
21.1397,G,6.215,5750.0
124.953,K,5.22606,4157.0
76.222,G,5.51048,4980.0
139.135,K,12.618,4060.0
95.9863,G,5.59,4816.0
72.0691,K,6.4535,5098.0
72.0691,K,6.4535,5098.0
128.484,M,16.186,3100.0
47.2,M,15.788,0.0
33.8281,M,14.244,3530.0
40.0896412,M,0.0,3064.0
66.0613,M,18.3,2859.0
117.435,G,0.0,2943.0
120.423987,M,0.0,2936.0
,G,0.0,0.0
100.862,G,16.957,3021.0
64.308,M,20.15,2825.0
396.332,G,12.651,29564.0
34.1154,G,11.804,3592.0
69.5737,K,12.368,4045.0
44.657,F,7.09209,6331.0
73.4603,K,4.5801,4415.0
90.6545,K,4.8262,4200.0
13.7967,G,5.03352,5872.0
13.7967,G,5.03352,5872.0
13.7967,G,5.03352,5872.0
29.7575,F,5.21149,7295.0
15.4614,G,5.45309,5758.0
12.5855,K,5.95084,5172.0
12.5855,G,5.95084,5172.0
12.5855,G,5.95084,5172.0
12.5855,G,5.95084,5172.0
12.5855,G,5.95084,5172.0
54.6599,K,5.87307,4941.0
8.50332,G,4.6955,5577.0
8.50332,G,4.6955,5577.0
8.50332,G,4.6955,5577.0
19.8101,K,3.95,4826.0
19.8101,K,3.95,4826.0
17.9011,G,4.96808,5495.0
82.9613,G,5.3532,4809.0
82.9613,G,5.3532,4809.0
162.552,K,6.83295,4847.0
101.26,G,5.64307,4734.0
44.0304,K,4.23946,4665.0
162.127,G,7.076,9770.0
50.0475,K,9.13,5285.0
26.8564,F,6.332,6130.0
9.7221,M,8.81,3665.0
9.7221,M,8.81,3665.0
9.7221,M,8.81,3678.0
1070.63,G,9.577,4095.0
49.352,K,9.78,4864.0
768.045,G,10.41,4649.0
426.42,K,9.01,4796.0
1539.71,K,9.743,4137.0
1539.71,K,9.743,4137.0
1322.51,K,9.367,4296.0
179.461,G,10.849,5766.0
53.622,K,9.67,5004.0
871.493,K,9.139,4414.0
666.589,K,8.69,4534.0
442.042,K,9.381,4943.0
52.5697,K,9.38,5012.0
44.9543,K,9.374,4993.0
38.0473,K,8.96,5000.0
20.2695,K,9.7,4324.0
20.2695,K,9.7,4324.0
41.3342,K,9.86,4816.0
41.3342,K,9.86,4746.0
84.4069,K,10.013,5393.0
27.1665,K,10.03,4550.0
27.1665,K,10.03,4550.0
925.214,G,10.038,4545.0
589.423,G,11.1,6935.0
34.4603,K,9.62,4714.0
23.7324,K,9.84,4051.0
23.7324,K,9.84,4051.0
8.60715,M,13.95,3130.0
23.1,G,0.0,580.5
,M,0.0,2320.0
190.374,M,0.0,3099.0
157.998,K,13.642,3807.0
10.8864,M,11.298,3406.0
190.72,K,12.335,4403.0
787.909,G,13.623,5950.0
338.386,K,15.293,5075.0
655.037,F,12.897,6440.0
1126.37,G,15.588,5675.0
1148.93,G,15.005,5945.0
1744.6,F,15.932,6035.0
732.409,G,16.052,5650.0
1176.12,G,16.29,5740.0
764.889,G,14.868,5440.0
790.663,F,14.135,6090.0
213.283,G,12.516,5625.0
844.061,G,14.63,5880.0
844.061,G,14.63,4947.5
1398.8341969,F,16.058,6200.0
627.158,G,13.82,5939.0
1060.97,G,15.675,5900.0
591.555,K,15.383,4950.0
591.555,K,15.383,4950.0
1103.48,F,14.79,6040.0
1045.18,G,15.861,5590.0
1010.28,G,15.774,5900.0
766.183,G,13.783,5150.0
806.507,K,15.408,5260.0
768.771,F,13.448,6740.0
1032.23,G,15.571,5650.0
2005.76,G,15.479,5700.0
1123.21,F,15.635,6390.0
925.958,F,13.126,6730.0
726.412,G,13.652,6190.0
882.472,F,14.043,6100.0
645.294,F,13.961,6090.0
159.906,G,11.728,5275.0
159.906,G,11.728,5256.0
159.906,G,11.728,5250.0
322.037,K,14.792,5080.0
412.98,G,13.637,5625.0
576.683,G,13.626,5970.0
30.5225,G,12.956,3579.0
20.77,L,0.0,0.0
134.846,M,13.98,4371.0
62.5388,F,7.98,6196.0
62.5388,F,7.98,6196.0
62.5388,F,7.98,6196.0
62.5388,F,7.98,6196.0
137.94,F,8.57,6500.0
45.23,K,9.066,5138.0
25.3284,F,5.72936,6400.0
305.684,G,18.6837,13500.0
44.0622,G,8.17,5428.0
134.0,G,17.6984,3648.0
159.259,G,16.014,3587.0
706.391,G,14.321,5633.0
253.026,G,13.948,4991.0
232.1,G,11.746,5820.0
476.882,G,12.081,5942.5
334.967,K,14.668,4761.0
577.6,G,14.974,4520.0
257.443,G,14.705,4292.67
436.488,G,14.983,5053.0
243.935,G,12.365,5502.7
369.888,G,13.096,5724.0
369.888,G,13.096,5724.0
369.888,G,13.096,5724.0
161.365,G,17.89,3489.0
451.769,G,16.59,4114.0
451.769,G,16.59,4114.0
109.888,G,17.83,3297.0
314.35,G,14.005,4864.0
314.35,G,14.005,4752.0
186.197,M,15.133,4057.0
181.69,G,10.154,6069.0
418.395,G,14.611,5171.0
418.395,G,14.611,5171.0
611.804,G,13.441,5782.33
283.29,G,13.672,4982.79
320.07,G,12.488,6004.0
320.07,G,12.488,6004.0
561.929,G,13.976,5765.0
561.929,G,13.976,5765.0
336.25,K,14.81,4684.0
336.25,K,14.81,4684.0
624.512,G,13.991,5620.0
496.289,G,14.21,5499.0
244.59,G,12.101,5532.0
244.59,G,12.101,5532.0
150.124,G,16.77,3782.0
121.971,G,10.23,5868.0
372.632,F,11.237,6202.0
551.886,G,12.353,4898.0
321.296,G,11.429,5430.0
321.296,G,11.429,5430.0
321.296,G,11.429,5430.0
133.4950466,M,0.0,2838.0
21.7912,G,11.672,3517.0
16.009,M,13.078,3326.0
16.009,M,13.078,3326.0
27.9276,M,13.821,3348.0
4.84867,M,13.76,3024.0
4.84867,M,13.76,3024.0
